0	SRP007461	SRR545720
1	SRP043081	SRR1659951
2	SRP059950	SRR2081134
3	SRP067661	SRR3039609
4	SRP057721	SRR2000010
5	SRP048993	SRR1639273
6	SRP018848	SRR764960
7	SRP029899	SRR976765
8	SRP045638	SRR1554565
9	SRP050146	SRR1660310
10	ERP001344	ERR313162
11	SRP007461	SRR317044
12	SRP040472	SRR1201725
13	SRP055180	SRR1812372
14	SRP060650	SRR2096446
15	SRP045638	SRR2071377
16	SRP051844	SRR1747182
17	SRP007461	SRR317065
18	SRP009316	SRR387427
19	SRP053004	SRR1782599
20	SRP050954	SRR1697327
21	SRP066895	SRR2969252
22	SRP056295	SRR1918672
23	SRP023538	SRR873420
24	SRP055180	SRR1812363
25	SRP045905	SRR1561876
26	SRP056295	SRR1918702
27	SRP056295	SRR1918551
28	SRP029589	SRR970578
29	SRP003754	SRR527603
30	SRP028528	SRR948108
31	SRP050596	SRR1693845
32	SRP056295	SRR1918682
33	SRP042623	SRR1313295
34	SRP015419	SRR1342239
35	SRP056295	SRR1918326
36	SRP041738	SRR1273707
37	ERP010372	ERR894749
38	SRP056612	SRR1942963
39	SRP045870	SRR1560927
40	SRP040472	SRR1201863
41	SRP052740	SRR1768944
42	SRP056612	SRR1942960
43	SRP040998	SRR1220184
44	ERP010889	ERR950162
45	SRP042620	SRR1313155
46	SRP018008	SRR650140
47	SRP047194	SRR1576503
48	ERP006650	ERR579153
49	ERP000546	ERR030882
50	SRP052983	SRR1781545
51	SRP040647	SRR1207407
52	SRP056835	SRR1951541
53	SRP047126	SRR1575105
54	SRP015419	SRR1342241
55	SRP026042	SRR901178
56	SRP051182	SRR1714496
57	ERP009437	ERR752827
58	SRP045441	SRR1544494
59	ERP009437	ERR752723
60	ERP002045	ERR266335
61	ERP001942	ERR188268
62	SRP042620	SRR1313105
63	SRP063948	SRR2473066
64	SRP029880	SRR975567
65	SRP057251	SRR1976434
66	SRP041100	SRR1232249
67	SRP063477	SRR2305491
68	SRP068318	SRR3097379
69	SRP049391	SRR1634772
70	ERP010142	ERR863712
71	ERP009768	ERR789388
72	SRP033078	SRR1030499
73	ERP000546	ERR030888
74	SRP047194	SRR1576507
75	SRP062966	SRR2443193
76	SRP065451	SRR2850569
77	SRP048759	SRR1608533
78	ERP001942	ERR188384
79	SRP042620	SRR1313223
80	SRP031620	SRR1027588
81	SRP048759	SRR1608503
82	SRP049097	SRR1617430
83	SRP061701	SRR2131837
84	SRP032775	SRR1026918
85	ERP005938	ERR519511
86	SRP045986	SRR1562565
87	SRP047323	SRR1581240
88	SRP047082	SRR1799879
89	SRP022133	SRR846956
90	SRP012656	SRR493958
91	SRP049340	SRR2038470
92	SRP044708	SRR1522990
93	SRP064131	SRR2503772
94	SRP044286	SRR1514134
95	SRP059431	SRR2061447
96	ERP001942	ERR188277
97	SRP057074	SRR1964902
98	SRP007461	SRR534331
99	SRP050272	SRR1663288
100	SRP007494	SRR309264
101	SRP047082	SRR1799887
102	SRP012607	SRR493368
103	ERP010930	ERR952465
104	SRP000941	SRR1220489
105	SRP027383	SRR934874
106	SRP061701	SRR2131838
107	SRP063867	SRR2453312
108	SRP050036	SRR1657037
109	SRP060715	SRR2097512
110	SRP049004	SRR1614280
111	SRP041538	SRR1265613
112	SRP051765	SRR1744433
113	SRP041885	SRR1283397
114	ERP001942	ERR188058
115	SRP033393	SRR1040856
116	SRP059057	SRR2050403
117	SRP057826	SRR2002843
118	SRP031478	SRR1013360
119	ERP003259	ERR296097
120	SRP041298	SRR1257224
121	SRP014320	SRR521481
122	SRP041538	SRR1265579
123	SRP052740	SRR1768853
124	SRP033725	SRR1047825
125	SRP059957	SRR2082436
126	SRP067529	SRR3030740
127	SRP064378	SRR2545384
128	SRP033266	SRR1036113
129	SRP041338	SRR1258224
130	SRP059431	SRR2061423
131	SRP048759	SRR1608563
132	SRP020237	SRR390726
133	SRP048759	SRR1608610
134	SRP064259	SRR2532388
135	ERP003259	ERR296096
136	SRP047233	SRR1576853
137	SRP057205	SRR1975494
138	SRP045666	SRR1555199
139	SRP064321	SRR2537150
140	SRP056074	SRR1910387
141	SRP048556	SRR1593953
142	SRP048759	SRR1608907
143	SRP061426	SRR2124171
144	SRP049648	SRR1646739
145	SRP041298	SRR1257209
146	SRP041840	SRR1282995
147	ERP001942	ERR188087
148	SRP037778	SRR1168866
149	SRP019939	SRR791579
150	SRP045823	SRR1560184
151	ERP004573	ERR502851
152	SRP020493	SRR805877
153	SRP053101	SRR1785276
154	SRP044174	SRR1509485
155	SRP034712	SRR1058014
156	SRP018218	SRR653030
157	SRP024274	SRR886607
158	SRP035316	SRR1106198
159	ERP006686	ERR580883
160	SRP012540	SRR491305
161	SRP064138	SRR2506790
162	SRP045663	SRR1555159
163	SRP011546	SRR490977
164	SRP056086	SRR1910488
165	SRP014027	SRR518624
166	SRP001371	SRR980453
167	SRP058237	SRR2016916
168	SRP044668	SRR1521371
169	SRP060715	SRR2097521
170	ERP006538	ERR571510
171	SRP025982	SRR898296
172	SRP042647	SRR1341301
173	SRP048825	SRR1610272
174	SRP050468	SRR1690995
175	SRP042297	SRR1299758
176	SRP045500	SRR1551005
177	SRP025982	SRR898291
178	SRP025977	SRR896625
179	SRP058856	SRR2045102
180	SRP025982	SRR897809
181	SRP025982	SRR897815
182	SRP015678	SRR1055722
183	DRP001358	DRR015340
184	DRP001358	DRR015460
185	SRP057500	SRR1982747
186	SRP041833	SRR1282316
187	ERP009022	ERR701469
188	SRP044668	SRR1521396
189	SRP058856	SRR2045095
190	SRP049340	SRR1633290
191	SRP051848	SRR1747305
192	SRP025982	SRR897901
193	SRP043033	SRR1363135
194	SRP018838	SRR764794
195	SRP025982	SRR898138
196	SRP057098	SRR1777317
197	SRP025982	SRR898335
198	SRP044679	SRR1588603
199	SRP044668	SRR1521393
200	SRP042596	SRR1303997
201	SRP026042	SRR901157
202	SRP031868	SRR1057972
203	SRP045352	SRR1539224
204	SRP051848	SRR1747216
205	SRP052612	SRR1767254
206	SRP040547	SRR1204613
207	SRP044668	SRR1521404
208	SRP050179	SRR2751111
209	SRP007483	SRR309144
210	ERP008967	ERR866168
211	DRP001358	DRR015332
212	SRP049611	SRR1645067
213	DRP001358	DRR015304
214	SRP049340	SRR1633329
215	SRP007412	SRR306847
216	SRP025982	SRR897234
217	SRP014009	SRR518497
218	SRP060355	SRR2087325
219	SRP009123	SRR358994
220	SRP010166	SRR396802
221	SRP025982	SRR897218
222	SRP057250	SRR2981493
223	ERP003933	ERR405389
224	SRP036848	SRR1164830
225	SRP038702	SRR1173996
226	SRP009408	SRR372647
227	SRP033711	SRR1047625
228	SRP042616	SRR1312368
229	SRP049340	SRR1633315
230	SRP001563	SRR034203
231	SRP045611	SRR1554250
232	SRP028170	SRR942432
233	SRP064464	SRR2558164
234	SRP066956	SRR2968934
235	SRP014675	SRR531695
236	SRP025982	SRR897522
237	SRP026126	SRR903322
238	SRP056835	SRR1951562
239	SRP049340	SRR1633361
240	SRP025982	SRR897145
241	DRP001358	DRR015225
242	SRP025982	SRR897448
243	SRP052713	SRR1768105
244	SRP045048	SRR1531145
245	DRP000987	DRR006421
246	ERP009992	ERR832552
247	SRP064454	SRR2557093
248	SRP051368	SRR1725958
249	ERP003613	ERR315444
250	SRP041179	SRR1238528
251	SRP025982	SRR897063
252	SRP031776	SRR1014770
253	SRP014830	SRR542383
254	SRP018317	SRR654040
255	SRP048801	SRR1609528
256	SRP025982	SRR896670
257	SRP045352	SRR1539241
258	SRP028570	SRR948752
259	SRP026126	SRR903094
260	SRP045118	SRR1533015
261	SRP057500	SRR2096488
262	SRP056733	SRR1947577
263	SRP043962	SRR1503231
264	SRP048801	SRR1609432
265	SRP012557	SRR492039
266	SRP034712	SRR1058054
267	SRP051083	SRR1706807
268	ERP004592	ERR409897
269	SRP033566	SRR1044585
270	SRP051083	SRR1706848
271	SRP048801	SRR1609630
272	SRP009408	SRR372623
273	SRP025982	SRR897600
274	SRP030617	SRR1003831
275	SRP050499	SRR2013650
276	SRP006309	SRR172838
277	SRP048801	SRR1609589
278	SRP048801	SRR1609376
279	SRP025982	SRR897118
280	SRP025982	SRR897086
281	SRP042228	SRR1782906
282	SRP047459	SRR1585212
283	SRP050249	SRR1662328
284	SRP050499	SRR2013598
285	SRP045876	SRR1561108
286	SRP031698	SRR1013973
287	SRP042228	SRR1782908
288	SRP025982	SRR897112
289	SRP018717	SRR741931
290	SRP050000	SRR1656503
291	SRP008976	SRR353658
292	SRP047429	SRR1290830
293	SRP050499	SRR2013520
294	SRP068139	SRR3087707
295	SRP033135	SRR1033141
296	SRP062010	SRR2143915
297	SRP065258	SRR2810185
298	SRP040472	SRR1203025
299	SRP041471	SRR1264175
300	SRP042228	SRR1782733
301	SRP018717	SRR741927
302	DRP001797	DRR023469
